标题,行政区,地标,具体位置,地址,建筑面积/平方米,总价(万),每平方米价格(元),等级,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
万达广场星巴克.月收2万（总价38.8万全包）万博CBD旺铺,番禺,万博,临街门面?1层,番禺万达广场(商业),25.0,38.8,46000.0,"""购物""",113.35521396375339,23.012052024871225,113.3617427423291,23.017810315003396
科学城旺铺 锐心大卡司 现租1W3 房产证过户 手慢无！,黄埔,香雪,临街门面?1层,锐丰中心商铺,22.0,27.8,12700.0,"""NoClass""",113.50789158512872,23.179792117185128,113.51435242180789,23.18606990949804
捡漏王 性价比高！万菱汇临街铺（经营中）证件齐全 带租1万9,天河,龙口东,临街门面?1层,万菱汇商铺,31.0,38.0,22300.0,"""NoClass""",113.33676510417887,23.138364624149206,113.34331577918144,23.14402585647446
一口价急售73.8万包过户（天环广场 星巴克）带租2.5万,天河,体育西路,临街门面?1层,天环广场,20.0,73.8,11600.0,"""购物""",113.33120082019079,23.138038782174026,113.33774511072771,23.143730587868583
(真实在售，就此一间)番禺永旺临街星巴克 一次性买断过户!,番禺,番禺广场,购物百货中心?1层,永旺梦乐城(番禺)商铺,35.0,25.8,11500.0,"""购物""",113.39451348234367,22.943332850405186,113.40096589293427,22.949662820199433
市中心位置（产权清晰无抵押）万菱汇星巴克 一口价68万可小刀,天河,体育西路,购物百货中心?1层,万菱汇商铺,40.0,68.0,59800.0,"""NoClass""",113.33676510417887,23.138364624149206,113.34331577918144,23.14402585647446
白云万达(喜茶)业主出国发展出售国内物业 8万包税当天过户!,白云,白云万达,购物百货中心?1层,白云万达广场(商业),30.0,8.0,17500.0,"""NoClass""",113.27327125380468,23.178707421272646,113.2797222559149,23.185029696662406
笋铺！广州市中心（正佳广场丨星巴克88万）收租3万 独立产权,天河,龙口东,商业街店铺?1层,正佳广场,30.0,88.0,67900.0,"""购物""",113.33363064676394,23.137855755338458,113.34017827404056,23.1435308205651
（万达广场笋铺产权出售）海珠万达主通道靓位置 带三年租约出售,海珠,广州大道南,购物百货中心?1层,海珠万达广场,16.0,30.0,107000.0,"""购物""",113.3205820405914,23.08937499468139,113.32712883503959,23.09519823023561
天河商业地标！太古汇（大品牌商家在租 月租1万9）产权清晰！,天河,龙口东,商业街店铺?1层,太古汇(商业),30.0,15.9,63500.0,"""购物""",113.33896083233617,23.14018415687486,113.34551327447925,23.145841197766456
捡漏 业主急用钱出售 番禺万达星巴克店铺 带租1万6,番禺,万博,购物百货中心?1层,番禺万达广场(商业),30.0,16.0,175400.0,"""购物""",113.35521396375339,23.012052024871225,113.3617427423291,23.017810315003396
白云新城江夏地铁站旁一手商铺带租约出售,白云,江夏,临街门面?1层,白云尚城商铺,35.0,139.0,13100.0,"""地产小区""",113.29158500823054,23.219936051046987,113.29802784119736,23.226215304519699
体育西地铁口 天河城笋铺带租(西树泡芙)产权清晰 买断包过户,天河,体育西路,购物百货中心?1层,天河城百货,28.0,39.8,50500.0,"""购物""",113.42249515998694,23.136223872581696,113.42895001702643,23.142350380041177
买断产权过户(天环广场)现经营喜茶 带租1万4 业主急售！,天河,体育西路,购物百货中心?1层,天环广场,20.0,26.0,41500.0,"""购物""",113.33120082019079,23.138038782174026,113.33774511072771,23.143730587868583
珠江新城 兴盛路一线临街便利店66方 售820万,天河,猎德,临街门面?1层,兴盛路,66.0,820.0,53300.0,"""道路""",113.29045979074911,23.349001744393399,113.29689109406583,23.355290072402956
（大捡漏！10万卖断过户）带租约两万 临街商铺 北京路步行街,越秀,解放中路,商业街店铺?1层,北京路步行街,25.0,10.88,58400.0,"""城市""",113.27143134445974,23.135336306695007,113.27784997152557,23.141638642942163
龙口西 独栋商业 年收租65万 门面超6米 人流必经,天河,龙怡路,临街门面?1层,龙口西路商铺,68.0,1000.0,180800.0,"""道路""",113.34241328990153,23.146139564290196,113.34896916896379,23.151799592077507
独立红本（天河石牌桥太古汇）临街商铺 总价12.8万 带租约,天河,龙口东,商业街店铺?1层,太古汇(商业),25.0,12.8,131100.0,"""购物""",113.33896083233617,23.14018415687486,113.34551327447925,23.145841197766456
越秀区（北京路步行街 独立产权！当天过户）临街商铺 带租两万,越秀,解放中路,商业街店铺?1层,北京路步行街,20.0,16.78,54700.0,"""城市""",113.27143134445974,23.135336306695007,113.27784997152557,23.141638642942163
今曰新收（全网独价）天河粤垦路喜茶 收租20000 临街靓铺,天河,粤垦,写字楼配套?1层,广垦商务大厦(商业),40.0,138.0,40800.0,"""商务大厦""",113.34050106696309,23.158530539689385,113.34706901195665,23.164190327346547
急售 林乐路 地铁口大型小区商铺门面超50米整层出售租客稳定,天河,林和,社区底商?1层,侨林苑-广州市天河区,2186.0,15000.0,60000.0,"""区县""",113.36850942427998,23.13035783510465,113.37499524166586,23.13632732049535
(老师急售)丽景彡广场一楼旺铺 带租(生煎先生)38万买断,海珠,滨江中,购物百货中心?1层,客村-地铁站-广州市海珠区,30.0,10000.0,128400.0,"""商圈""",113.32592471261023,23.101735372651239,113.33247425471139,23.107483256158785
江南西商圈 地铁旁餐饮铺急售 238方售530万收租2.4万,海珠,江南西,社区底商?1层,江南西-地铁站-广州市海珠区,238.0,20000.0,35200.0,"""区县""",113.32353998097368,23.08898129664783,113.33009576578388,23.094762140621076
无 随时可看！番禺广州南站 （临街商铺 独立红本 带租）,番禺,市桥北,商业街店铺?1层,广州南站(商业),25.0,20000.0,108500.0,"""NoClass""",113.2811775999176,23.137089166749928,113.28759005910776,23.143424634615735
广州天河城广场（一口价11.6万买断 产权清晰）带租1万5卖,天河,龙口东,临街门面?1层,广州天河城广场,16.0,80000.0,36900.0,"""购物""",113.33135173551642,23.141077007344327,113.33789777042748,23.146767932332194
（可小刀）广州东站鲍师傅 人流聚集地 买断产权 带租约,天河,长湴,购物百货中心?1层,广州东站(商业),20.0,160000.0,60300.0,"""火车站""",113.33106212182011,23.155822667249358,113.33761986777337,23.1615183618579
(买断产权 业主住附近)新塘永旺首层大卡司 租金稳定收一万八,增城,新塘,购物百货中心?1层,永旺梦乐城,30.0,31600.0,49400.0,"""购物""",113.20133099604517,23.156102029741139,113.20786586358182,23.16191134769867
业主一口价急售！南岗万达广场 肯德基带租急售 产权清晰,黄埔,南岗,购物百货中心?1层,南岗万达广场,45.0,28000.0,88000.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
急售一口价买断！南岗万达广场 茶救星球带租急售 业主爽快,黄埔,南岗,购物百货中心?1层,南岗万达广场,35.0,78000.0,99400.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
兴盛路连锁眼镜百货超市174方9米层高年租144万3750万,天河,猎德,临街门面?1层,兴盛路,174.2,21300.0,85700.0,"""道路""",113.29045979074911,23.349001744393399,113.29689109406583,23.355290072402956
白云新城江夏地铁站旁一手商铺带租约出售,白云,江夏,临街门面?1层,白云尚城商铺,35.0,139.0,65200.0,"""地产小区""",113.29158500823054,23.219936051046987,113.29802784119736,23.226215304519699
免中介费 单价1.3万 金融城电影院急售 回0报超7里随时约,天河,科韵路,临街门面?3层,汇金东翼(商业),2527.0,3500.0,91300.0,"""商务大厦""",113.38540601193378,23.124680981271273,113.39183708364775,23.130922723783259
中山大道西骏景花园七字位药店129方1380万,天河,车陂,临街门面?1层,骏景花园商铺,129.0,1380.0,21500.0,"""地产小区""",113.39143310292043,23.129022478546298,113.39785100896596,23.135325007885827
中山八路旺路段裙楼旺铺带酒店租约出售5厘半,荔湾,南岸,购物百货中心?5层,中山八路商铺,1384.0,2400.0,11600.0,"""道路""",113.24245569177002,23.1312559030174,113.24896284318038,23.137121173155746
首付3万即可入手(南岗万达公寓)产权复试带精装 月收3千6,黄埔,南岗,写字楼配套?16层,南岗万达广场,60.0,10.0,16400.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
海珠区绿地海玥花园首层珍珠细铺带稳定租约出售,海珠,工业大道南,社区底商?1层,绿地越秀海玥南边路商铺,64.0,270.0,28500.0,"""区县""",113.27342648099675,23.13526012014849,113.27984228852596,23.1415761582555
(老师急售)丽景彡广场一楼旺铺 带租(生煎先生)27.8买断,海珠,滨江中,购物百货中心?1层,客村-地铁站-广州市海珠区,25.0,27.8,30000.0,"""商圈""",113.32592471261023,23.101735372651239,113.33247425471139,23.107483256158785
（来电优惠！）（开发商直售 免中介费）南岗万达商铺 无忧收租,黄埔,南岗,购物百货中心?1层,南岗万达广场,40.0,38.8,49500.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
黄埔！万达广场（全新一手 明火金街铺）开发商价50万全包,黄埔,南岗,临街门面?1层,南岗万达广场,32.0,50.0,48700.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
(万达金街现铺)南岗万达开发商直售 内部价38万 随时可看!,黄埔,南岗,商业街店铺?1层,南岗万达广场,25.0,38.0,97600.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
番禺！万达广场（金街铺丨78万）证件齐全带租18000,番禺,万博,临街门面?1层,番禺万达金街,20.0,78.0,13900.0,"""购物""",113.82203800491934,23.281587053942837,113.82860907826661,23.287247862663958
天河珠江新城 年收租150万 一线临街商铺  急售,天河,珠江新城中,临街门面?1层,名门大厦(商业),160.94,2330.0,20300.0,"""NoClass""",113.32241862620595,23.12495608878541,113.32894170714099,23.130746420721875
市区地段！天河万菱汇（喜茶58.8万丨证件齐全） 带租无抵押,天河,龙口东,商业街店铺?1层,万菱汇商铺,40.0,58.8,123800.0,"""NoClass""",113.33676510417887,23.138364624149206,113.34331577918144,23.14402585647446
东方宝泰广场 全款40W  业主低价抛售 手慢无,天河,天河北,购物百货中心?1层,东方宝泰购物广场,16.0,40.0,17700.0,"""购物""",113.33133098465915,23.153692830773815,113.33788705749828,23.15938596632034
合生中央城 临街旺铺 可明火周边入住万人 看房方便 欢迎联系,黄埔,科学城,临街门面?1层,合生中央城开源大道22号商铺,32.0,208.0,20700.0,"""地产小区""",113.5064560030937,23.159014990322495,113.51290226590463,23.165273206915154
珠江新城临街铺王 各付各税  高端消费人群 小区出入口旁,天河,珠江新城西,临街门面?1层,华利路,175.0,2280.0,66100.0,"""道路""",113.32517651395124,23.12351091630074,113.33170754135647,23.12926453586395
珠江新城 地铁口旁 门面超15米 连锁品牌 各付各税,天河,珠江新城西,临街门面?1层,华利路,175.0,1950.0,119800.0,"""道路""",113.32517651395124,23.12351091630074,113.33170754135647,23.12926453586395
东山广场首层星巴克 临街旺铺 业主急售买断过户 租金稳定收,越秀,北京路,写字楼配套?1层,东山广场(商业),36.0,39.6,13900.0,"""购物""",113.30038903103928,23.142405430101897,113.30683994420129,23.148566162365449
(真实在售 番禺永旺首层铺位)一次性买断过户 带租星巴克,番禺,番禺广场,购物百货中心?1层,永旺梦乐城(番禺)商铺,35.0,30.0,18500.0,"""购物""",113.39451348234367,22.943332850405186,113.40096589293427,22.949662820199433
(真实在售，就此一间)番禺永旺临街星巴克 一次性买断过户!,番禺,番禺广场,购物百货中心?1层,亚运大道1号,25.0,20.8,41700.0,"""门址""",113.39430839919581,22.945023591880525,113.40076153876892,22.951352612907536
震惊！珠影星光城星巴克 业主急售 可小刀！总价38.8买断,海珠,客村,临街门面?1层,珠影星光城,30.0,38.8,15900.0,"""购物""",113.32781106435002,23.10038402134659,113.33436633010102,23.106110878973664
白云新城新市虚白云区汇侨新城南九带租约单价1万,白云,新市,临街门面?2层,汇侨新城商铺,1820.0,2200.0,1.21,"""地产小区""",113.26381101882113,23.204548007195088,113.27027913049905,23.21077576699326
白云新市！百信广场（证件齐全丨茶理 总价19.8万）,白云,新市,商业街店铺?1层,百信广场(商业),20.0,19.8,11600.0,"""商圈""",113.26790854957298,23.200373159174715,113.27436921087302,23.206650542259287
(首付五成买断 万达旺铺)业主急售 租金稳定 带租(星巴克),黄埔,南岗,购物百货中心?1层,康富路16号,25.0,41.0,40800.0,"""门址""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
独价铺（直接买断）广州南站肯德基 月收2万 中介勿扰,番禺,华南新城,商业街店铺?1层,广州南站(商业),20.0,9.5,130300.0,"""NoClass""",113.2811775999176,23.137089166749928,113.28759005910776,23.143424634615735
收租2W（产权过户）万博CBD 番禺天河城星巴克,番禺,华南新城,商业街店铺?1层,粤海广场(商业),50.0,128.0,170300.0,"""休闲娱乐""",113.34803066374522,23.01171913727941,113.35457416410216,23.017404750867283
江南西路 门面超15米 各付各税 年收租超30万 急急急,海珠,江南西,临街门面?1层,江南西路商铺,550.0,3200.0,290400.0,"""道路""",113.27712660139113,23.10100655381085,113.2835570484255,23.10734233568354
天河北路 门面超30米 连锁品牌 租金高 靠近地铁口 笋 快,天河,林和,临街门面?1层,光华大厦商铺,421.0,3368.0,23100.0,"""地产小区""",113.32587710241822,23.14649662269102,113.33241567680591,23.152242839346138
江南西商圈 地铁旁餐饮铺急售 238方售530万收租2.4万,海珠,江南西,社区底商?1层,江南西-地铁站-广州市海珠区,238.0,530.0,57400.0,"""区县""",113.32353998097368,23.08898129664783,113.33009576578388,23.094762140621076
无 随时可看！番禺广州南站 （临街商铺 独立红本 带租）,番禺,市桥北,商业街店铺?1层,广州南站(商业),25.0,28.9,50900.0,"""NoClass""",113.2811775999176,23.137089166749928,113.28759005910776,23.143424634615735
业主急卖！临街商铺（增城万达广场）证件齐全房管局当天过户,增城,荔城富鹏,商业街店铺?1层,增城万达广场(商业),40.0,65.7,25000.0,"""区县""",113.81754566889598,23.266592400631393,113.82410223904444,23.272251176865617
环市中路 小北地铁口店面出售 6.8万买入 有产权可过户,越秀,小北,社区底商?1层,环市中路商铺,15.0,6.8,50600.0,"""道路""",113.28101985747009,23.146445697482358,113.2874377482746,23.152782447059378
（捡漏）黄埔万达 10万出售一手精准现楼公寓 月收租3千,黄埔,南岗,写字楼配套?1层,南岗万达广场,30.09,10.0,30700.0,"""购物""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
番禺市桥南！独立产权（海伦堡丨总价288万）带租1万1,番禺,桥南,临街门面?1层,海伦堡流金岁月商铺,178.0,288.0,44000.0,"""地产小区""",113.35985649645798,22.931626785646288,113.36640255068918,22.937456805352605
五山地铁口！（临街商铺 总价23万带租约）卖断产权 独立红本,天河,燕塘,商业街店铺?1层,五山新天地商场,25.0,23.6,88900.0,"""购物""",113.3609639274903,23.15719039978819,113.36749271139594,23.163034846519535
总价89万卖断产权过户！临街商铺（增城东汇城）带租月1万6！,增城,荔城富鹏,商业街店铺?1层,增城东汇城,30.0,89.9,46700.0,"""购物""",113.82524486575835,23.28981986298967,113.83182175315649,23.295493154568367
374方银行 江南西路七字位门面29米卖5900万,海珠,江南西,临街门面?1层,宝业路商铺,374.0,5900.0,120800.0,"""道路""",113.26968009786863,23.097542656705725,113.27612319152506,23.10383456555386
卖断产权！西城都荟临街商铺（ 证件齐全 总价35万）带租约,荔湾,荔湾路,商业街店铺?1层,西城都荟,20.0,35.8,16400.0,"""购物""",113.24696913797286,23.116246012688323,113.25346536687518,23.122189316490073
一手落名（带外摆）珠江新城唯一可售珍珠餐饮商铺 门面15米,天河,珠江新城东,临街门面?1层,珠光新城御景花城大道商铺,221.0,4000.0,13100.0,"""道路""",113.41354664473698,22.943432776224893,113.42001287014773,22.949694690313625
笋 珠江新城维一可售独栋物业 实用1000方 单价4.5万,天河,珠江新城西,商业街店铺,华利路,1000.0,3500.0,42400.0,"""道路""",113.32517651395124,23.12351091630074,113.33170754135647,23.12926453586395
地铁口旁 门面超7米 年收20万 各付各税 仅398万,番禺,大石,临街门面?1层,105新地广场,40.16,398.0,60200.0,"""购物""",113.30827462629492,23.04908932954728,113.31477736714864,23.05512182332248
白云一手商铺带租约出售 地铁江夏站旁,白云,江夏,临街门面?1层,白云尚城商铺,35.0,139.0,15200.0,"""地产小区""",113.29158500823054,23.219936051046987,113.29802784119736,23.226215304519699
广钢新城唯一在售独栋 1978方 具备餐饮功能 一线临街靓,荔湾,西塱,临街门面,中海花湾壹号商铺,1978.0,8000.0,18900.0,"""地产小区""",113.24533107787596,23.074511316033005,113.25186688561964,23.08043296965504
6厘 天河区大型社区门面125平 稳定双租户 售1360万,天河,车陂,社区底商?1层,骏景花园商铺,124.9,1360.0,27800.0,"""地产小区""",113.39143310292043,23.129022478546298,113.39785100896596,23.135325007885827
番禺万达产权靓铺 月稳收2万 现出租(星巴克)即买即收包过户,番禺,万博,购物百货中心?1层,番禺万达广场(商业),40.0,88.0,112500.0,"""购物""",113.35521396375339,23.012052024871225,113.3617427423291,23.017810315003396
海珠区江南西  一线临街餐饮旺铺  急售  年收租210万,海珠,江南西,临街门面?1层,江南西路-道路-广州市海珠区,317.75,3500.0,49100.0,"""区县""",113.32353998097368,23.08898129664783,113.33009576578388,23.094762140621076
可自用江南西路江南大道中交界2楼餐馆1300方售价2900万,海珠,江南西,临街门面?2层,江南大道中商铺,1300.0,2900.0,119600.0,"""道路""",113.27856874105638,23.1128690996927,113.28498736890963,23.11920548654968
自用收租皆可  琶洲保利天悦临街美容院158方售价1500万,海珠,万胜围,临街门面?1-2层,保利天悦商铺,158.0,1500.0,36600.0,"""地产小区""",113.38674322951548,23.108380902345965,113.39318161854723,23.114640657597144
明火餐馆 江南西路350方一线路面售3200万,海珠,江南西,临街门面?1-2层,江南西商铺,346.0,3200.0,66100.0,"""地产小区""",113.27485029522959,23.100138281857264,113.28128335646177,23.106465798619685
海珠区 一线临街 独栋商铺急售  年收租200万,海珠,下渡路,临街门面,新港西路208号大院新港西路商铺,628.0,3200.0,113100.0,"""地产小区""",113.30702310705883,23.136911455811274,113.31349400529106,23.142960482790234
超宽门面19米北京路284方服装月租金40万5500万,越秀,北京路,商业街店铺?1-3层,北京路步行街,284.0,5500.0,100000.0,"""城市""",113.27143134445974,23.135336306695007,113.27784997152557,23.141638642942163
独栋自用 昌岗路双地铁明火餐馆教育机构1310方3500万,海珠,昌岗,临街门面,信和广场,1310.0,3500.0,46700.0,"""地产小区""",113.28121964061545,23.09568730171366,113.28765488197644,23.102027347119614
（来电优惠！）（开发商直售 免中介费）南岗万达商铺 无忧收租,黄埔,南岗,购物百货中心?1层,康富路16号,40.0,38.8,83100.0,"""门址""",113.5569894608964,23.10528450533643,113.56350891180793,23.111161506008853
出售 荔湾沙面地铁站 大型社区明火餐饮铺 品牌租约 单价低,荔湾,沙面,社区底商?1-2层,御景壹号-广州市荔湾区,927.0,4800.0,66300.0,"""地产小区""",113.24099307073915,23.11659276482863,113.24750961474277,23.122435369574516
万科智慧城首层街铺96平带租约售550万 捡漏,天河,天河智慧城,临街门面?1层,万科智慧商业广场,96.02,550.0,102500.0,"""地产小区""",113.41377369145455,23.173056393783108,113.42023385731507,23.179314451094237
珠江新城唯一在售的明火餐饮铺  1584方  配有大型停车场,天河,珠江新城东,临街门面?1-2层,花城大道-地铁站-广州市天河区,1584.0,8000.0,232500.0,"""道路""",113.35184989945019,23.123214534762668,113.35838796649294,23.12893411368197
大捡漏（买断）万胜广场星巴克 收租2W 错过拍大腿,海珠,万胜围,商业街店铺?1层,万胜广场(商业),20.0,9.5,125600.0,"""购物""",113.38888712544488,23.10316166868943,113.3953259919481,23.10944519841034
淘金CBD超6厘门面超20米可明火餐饮各付各税,越秀,淘金,商业街店铺?1层,淘金路184号商铺,380.0,1643.0,56700.0,"""门址""",113.29960696626255,23.1470040460503,113.3060586870047,23.153177498074404
急售 海珠区地铁旁明火餐饮铺6厘收租租客稳定门面宽人流旺,海珠,广州大道南,社区底商?1层,叠景路-公交车站-广州市海珠区,58.75,600.0,32200.0,"""道路""",113.31832010731802,23.091475778253334,113.32485779963342,23.09733404429583
越秀区一线街铺成熟地段130方售1000万 稳定租户,越秀,农讲所,临街门面?1层,仓边路-道路-广州市越秀区,130.0,1000.0,60000.0,"""道路""",113.27828020532665,23.134836731519834,113.28469211104857,23.141171314976455
6厘报 628方售3000万 配8个停车位 稀有独栋 捡漏,海珠,客村,临街门面?1层,紫琪美颜瘦身(敦和分店)-广州市海珠区,628.03,3000.0,131600.0,"""休闲娱乐""",113.31756139848456,23.1009952516856,113.32408710444307,23.106863940356118
急售 江燕路地铁旁 全层1126方 超笋明火餐饮铺 人流超旺,海珠,江燕路,社区底商?1-2层,江燕路-道路-广州市海珠区,1126.0,1500.0,122800.0,"""道路""",113.28531914763942,23.090759037217489,113.29176166067431,23.0970876553626
粤垦路 靠燕塘地铁站 门面大 社区主出入口 餐饮铺,天河,燕塘,临街门面?1层,粤垦路商铺,72.0,800.0,110600.0,"""道路""",113.3390643171309,23.16094322250777,113.34563468342746,23.16660381086899
全网独价（大捡漏）月收租20000 琶洲保利广场喜茶,海珠,广州塔,购物百货中心?1层,保利广场,30.0,138.0,143800.0,"""购物""",113.39011897179032,23.104916034187139,113.39655373947278,23.111210667473818
(老师急售)丽景彡广场一楼旺铺 带租(生煎先生)38万买断,海珠,滨江中,购物百货中心?1层,客村-地铁站-广州市海珠区,30.0,38.0,140400.0,"""商圈""",113.32592471261023,23.101735372651239,113.33247425471139,23.107483256158785
江南西商圈 地铁旁餐饮铺急售 238方售530万收租2.4万,海珠,江南西,社区底商?1层,江南西-地铁站-广州市海珠区,238.0,530.0,124900.0,"""区县""",113.32353998097368,23.08898129664783,113.33009576578388,23.094762140621076
无 随时可看！番禺广州南站 （临街商铺 独立红本 带租）,番禺,市桥北,商业街店铺?1层,广州南站(商业),25.0,28.9,167200.0,"""NoClass""",113.2811775999176,23.137089166749928,113.28759005910776,23.143424634615735
(小商铺捡漏)广州南站 全家便利店出售 业主带租约交易过户,番禺,南站,其他?1层,广州南站(商业),12.0,13.8,16700.0,"""NoClass""",113.2811775999176,23.137089166749928,113.28759005910776,23.143424634615735
白云一手商铺带租约出售 地铁江夏站旁,白云,江夏,临街门面?1层,白云尚城商铺,35.0,139.0,12000.0,"""地产小区""",113.29158500823054,23.219936051046987,113.29802784119736,23.226215304519699
百信广场！业主急用钱，一口价18万卖断！证件齐全 带租约,白云,广园路,商业街店铺?1层,百信广场(商业),21.0,18.7,10200.0,"""商圈""",113.26790854957298,23.200373159174715,113.27436921087302,23.206650542259287
体育西路50米门面 年收租336万 七字位铺王 国际品牌租户,天河,体育西路,临街门面?1层,体育西路商铺,350.0,5200.0,38900.0,"""道路""",113.20568472352839,23.486919609677448,113.21221697157691,23.492667000471657
琶洲独栋商铺  年收租600万 单价仅6.8万一方 核心商圈,海珠,琶洲,临街门面?1-2层,保利天悦商铺,1178.0,8000.0,49300.0,"""地产小区""",113.38674322951548,23.108380902345965,113.39318161854723,23.114640657597144
天河区 8千户大型社区 临街旺铺急售,天河,车陂,临街门面?1层,骏景花园商铺,129.0,1380.0,13100.0,"""地产小区""",113.39143310292043,23.129022478546298,113.39785100896596,23.135325007885827
急售 天河区东方一路大型社区铺地铁旁银行租约高租金明火餐饮铺,天河,天河公园,社区底商?1层,东方一路-道路-广州市天河区,378.23,2400.0,11900.0,"""区县""",113.36850942427998,23.13035783510465,113.37499524166586,23.13632732049535
北京路 年收租超500万 双地铁 门面超20米 连锁品牌 急,越秀,北京路,临街门面,北京路步行街,284.0,4980.0,97300.0,"""城市""",113.27143134445974,23.135336306695007,113.27784997152557,23.141638642942163
北京路步行街铺王 囘报7厘 知名传统商业街 消费人群必经地,越秀,北京路,临街门面,北京路步行街,400.0,5000.0,22200.0,"""城市""",113.27143134445974,23.135336306695007,113.27784997152557,23.141638642942163
业主大降价 乐峰广场 7里租约 十字路口 银行租户,海珠,沙园,临街门面?1层,乐峰广场,297.0,1500.0,16700.0,"""商圈""",113.26662307438864,23.094223443655879,113.27307593956454,23.100484436332704
大德路 明火餐饮 各付各税 跳楼价 159方 仅660万,越秀,解放南,临街门面?1层,大德路商铺,159.0,660.0,15000.0,"""道路""",113.26532306641774,23.12400978168437,113.27175455022157,23.130250277923407
急售 科学城 地铁口 明火餐饮商铺 7字门面 人流旺,黄埔,科学城,临街门面?1层,广州绿地中央广场,150.0,800.0,20700.0,"""NoClass""",113.43888546265548,23.168733366773386,113.44542529727234,23.174582454510948
海珠区独栋694至6000方 带餐饮功能 滨水新城 临江铺王,海珠,江燕路,临街门面,广纸路大院商铺,694.0,4050.0,16400.0,"""道路""",113.27550686672662,23.080792744791329,113.28195608177964,23.087126582623218
珠江新城金穗路旺铺生鲜超市 104方1880万,天河,珠江新城中,临街门面?1层,金穗路商铺,104.0,1880.0,23500.0,"""道路""",113.33818793027565,23.128635877351383,113.34473745741595,23.13429340329744
天河珠江新城  大型社区 一线临街商铺急售  年收租108万,天河,珠江新城西,临街门面?1层,保利香槟花园商铺,175.46,2300.0,16700.0,"""地产小区""",113.3239399065866,23.12311092154843,113.33046782592236,23.12888049093467
年租金120万 东山口地铁旁独栋红砖私房 比邻东山百货,越秀,东湖,社区底商?1层,龟岗大马路商铺,457.0,2500.0,16700.0,"""道路""",113.30606317779119,23.33781002161884,113.31255108903767,23.343880056024419
囘报6厘 四季花园广钢新城旁 一线临街铺 大型社区围绕,荔湾,坑口,临街门面?1层,四季花园商铺,245.1,1000.0,17500.0,"""地产小区""",113.23895490536825,23.077827447358478,113.24551072367327,23.083645415077116
业主急出！全国百大商业体（天河城丨首层星巴克）带租30000,天河,龙口东,商业街店铺?1层,广州天河城广场,24.0,144.0,117500.0,"""购物""",113.33135173551642,23.141077007344327,113.33789777042748,23.146767932332194
天河区黄埔大道西凯利广场一线旺铺快餐店 74方950万,天河,珠江新城中,临街门面?1层,凯利广场(商业),74.0,950.0,14400.0,"""商务大厦""",113.35740645801087,23.130466095440949,113.36392937938591,23.136253756204089
（大降价）保利时光里 淘金临街喜茶 收租2万,越秀,建设,商业街店铺?2层,保利时光里,25.0,88.0,40000.0,"""购物""",113.28833457957431,23.14326935467985,113.29475660332075,23.149574292387283
珠江新城一线旺铺 实用300方 各付各税 业主资金周转 急卖,天河,珠江新城东,商业街店铺?1层,保利香槟花园商铺,175.06,1900.0,23000.0,"""地产小区""",113.3239399065866,23.12311092154843,113.33046782592236,23.12888049093467
一线甲级写字楼商铺均价3万起  带餐饮功能和外摆位,天河,东圃,写字楼配套,珠光金融城壹号(商业),2409.0,8900.0,26000.0,"""地产小区""",113.41994801471424,23.110410004158124,113.42640302494066,23.116578865202315
广钢新城 中海花湾壹号 少量出售临街餐饮铺,荔湾,西塱,商业街店铺?1层,中海花湾壹号商铺,58.07,350.0,32100.0,"""地产小区""",113.24533107787596,23.074511316033005,113.25186688561964,23.08043296965504
天河南二路街铺一二楼790方售3900万 网红地段 广告位靓,天河,体育西路,临街门面?1-2层,天河南二路小区天河南二路商铺,790.0,3900.0,55000.0,"""道路""",113.3377008690283,23.13738360641568,113.34425162875773,23.14304234886165
琶洲 保利天悦 临街商铺 人流聚集 收租高 实用超90方,海珠,万胜围,商业街店铺?1层,保利天悦宸悦路商铺,79.53,700.0,99500.0,"""地产小区""",113.38674322951548,23.108380902345965,113.39318161854723,23.114640657597144
天河区繁华商圈临街带租约珍珠铺位出售,天河,岗顶,商业街店铺?1层,天河电脑城,60.35,600.0,78200.0,"""购物""",113.2988095404616,23.271208524552738,113.305262232057,23.27739469135107
年租金报回5 珠江新城高端生活社区底商华利路临街旺铺出售,天河,珠江新城东,商业街店铺?1层,星辰大厦商铺,525.09,4500.0,85300.0,"""商务大厦""",113.33813978110033,23.1371107678763,113.34469060966141,23.142768638721337
6厘报  市中心物业 售价3000万有餐饮广告位靓 城央笋盘,天河,体育西路,写字楼配套?1层,广东外经贸大厦(商业),1154.0,3000.0,28500.0,"""商务大厦""",113.33549588832425,23.139829989250776,113.34204632881083,23.145495911694888
