托育店铺,地址,百度地图经度,百度地图纬度,GCJ02经度,GCJ02纬度
昌华国际托育园,新都里2号首层,113.2553527,23.13359788,113.2618142,23.13968793
全优加早教·托育（新塘凤馨苑校区）,永宁街凤凰城凤馨苑一号门岗(进来右边50米处)综合楼,113.2293992,23.1050142,113.2359552,23.11071379
FAMIC放我家托育·早教（中海康城店）,中海康城梧桐街3号,113.4084571,23.1413854,113.4148781,23.1476895
乐之贝国际托育中心,棠景街汇景路93号,113.2606131,23.17617181,113.2670911,23.18235406
新爱婴早教（石井店）,石槎路金碧新城47栋58号（金碧小学对面）,113.2478636,23.21129931,113.25438,23.21726316
爱儿乐保育中心,工业大道中路373号之一,113.281171,23.07966568,113.2876191,23.08600838
星萌乐托育成长中心,汇彩路444号,113.4237536,23.11960522,113.4302145,23.12571112
RAE SNOW 瑞雪滑雪学校(广州融创雪世界店)（RAE SNOW广州融创雪世界店）,凤凰北路68号3楼瑞雪装备库,113.2416948,23.42990462,113.248244,23.43576556
希蒙国际托育中心,环市东路476号金东环大厦二楼,113.311285,23.14030304,113.3177729,23.14627676
全优加早教·托育（平沙富力城校）,均禾街平沙孖墩路7号11201室,113.2686885,23.24769454,113.2751111,23.25397248
笑笑尚学设计实验保育园 · 托育（珠江新城店）,猎德大道46-1号,113.3409742,23.12898044,113.3475239,23.13463686
贝儿倍乐早教日托中心,龙怡路89号广业植英创业园后座三楼B307,113.3490516,23.15071413,113.3556042,23.15640969
熊托邦·布鲁姆国际早教托育中心,黄埔大道中148号海景中心首层,113.3733871,23.1402581,113.379858,23.14631467
立智树启蒙早教中心（云景花园店）,广州大道北云景花园云景路1号,113.3351766,23.19164994,113.3417635,23.19732471
唯斯顿蒙特梭利儿童之家雅园,番禺区雅居乐观景北街75号101号,113.3711325,23.0174068,113.3776102,23.02342327
星光童乐汇早教托管中心,瑞东花园A东京栋中美新地教育城二楼,113.4718682,23.11471183,113.4784109,23.12043228
贝贝伴国际早教·托育（黄埔中心）,保利中誉广场副座3楼（大沙东地铁站A口步行180米),113.4644256,23.11286927,113.4709809,23.11853548
全优加早教·托育（剑桥郡校区）,南村镇雅居乐剑桥郡瀚澜一街48号,113.3929651,23.02584663,113.3993874,23.0321613
飞屋牧童托育园（翡翠绿洲森林半岛店）,翡翠绿洲·森林半岛6号,113.5670471,23.14171497,113.5735851,23.1474464
全优贝贝早教托育富力半岛校,富力半岛E2栋2楼,113.2358933,23.14745797,113.2424281,23.15322681
比尔盖托育,东漖街道浣南东街11-1号（坑口地铁站C口步行210米）,113.2426653,23.08241076,113.2492068,23.08828666
飞屋牧童托育园（中海康城店）,中海康城凤信街5栋1层,113.4096954,23.14017926,113.4161178,23.14647313
FAMIC放我家托育·早教（东方熹园店）,东方新世界·熹园,113.3646864,23.1352131,113.3711866,23.14111584
艾思乐早教托育中心,同德围横滘新南一路5号2楼,113.2460858,23.17762662,113.2526156,23.18356068
FAMIC放我家托育·早教(剑桥郡园),雅居乐剑桥郡,113.3916013,23.03121981,113.39803,23.03752585
飞屋牧童托育园（黄埔万科金色梦想店）,云埔五路万科金色梦想G13栋金梅街1号103号,113.5381586,23.16885543,113.544627,23.17505513
昌华国际托育园,新都里2号首层,113.2553527,23.13359788,113.2618142,23.13968793
全优加早教·托育（新塘凤馨苑校区）,永宁街凤凰城凤馨苑一号门岗(进来右边50米处)综合楼,113.2293992,23.1050142,113.2359552,23.11071379
FAMIC放我家托育·早教（中海康城店）,中海康城梧桐街3号,113.4084571,23.1413854,113.4148781,23.1476895
乐之贝国际托育中心,棠景街汇景路93号,113.2606131,23.17617181,113.2670911,23.18235406
FAMIC放我家托育·早教（万科尚城园）,丹水坑路万科尚城A6,113.537582,23.09934197,113.5440407,23.1055483
飞屋牧童托育园（旭景家园店）,车陂旭景家园旭景西街196号102房,113.4085095,23.13416418,113.4149278,23.14046728
飞屋牧童托育园（海珠万达店）,广州大道南万达广场三楼,113.3330227,23.20087589,113.3396042,23.20656171
飞屋牧童托育园（黄埔实地常春藤店）,黄埔开发区翠蔓大街2号,113.3542984,22.95048847,113.3608684,22.9562433
禾光美育家庭托育·早教（琶洲园）,杨青路5号,113.3923148,23.10136116,113.3987496,23.10767388
飞屋牧童托育园（黄埔万科山景城店）,长岭街道长岭路万科山景城东区M2栋,113.5327993,23.2170127,113.5392478,23.22328025
全优贝贝早教托育富力半岛校,富力半岛E2栋2楼,113.2358933,23.14745797,113.2424281,23.15322681
比尔盖托育,东漖街道浣南东街11-1号（坑口地铁站C口步行210米）,113.2426653,23.08241076,113.2492068,23.08828666
飞屋牧童托育园（中海康城店）,中海康城凤信街5栋1层,113.4096954,23.14017926,113.4161178,23.14647313
FAMIC放我家托育·早教（东方熹园店）,东方新世界·熹园,113.3646864,23.1352131,113.3711866,23.14111584
艾思乐早教托育中心,同德围横滘新南一路5号2楼,113.2460858,23.17762662,113.2526156,23.18356068
FAMIC放我家托育·早教(剑桥郡园),雅居乐剑桥郡,113.3916013,23.03121981,113.39803,23.03752585
飞屋牧童托育园（黄埔万科金色梦想店）,云埔五路万科金色梦想G13栋金梅街1号103号,113.5381586,23.16885543,113.544627,23.17505513
昌华国际托育园,新都里2号首层,113.2553527,23.13359788,113.2618142,23.13968793
全优加早教·托育（新塘凤馨苑校区）,永宁街凤凰城凤馨苑一号门岗(进来右边50米处)综合楼,113.2293992,23.1050142,113.2359552,23.11071379
FAMIC放我家托育·早教（中海康城店）,中海康城梧桐街3号,113.4084571,23.1413854,113.4148781,23.1476895
乐之贝国际托育中心,棠景街汇景路93号,113.2606131,23.17617181,113.2670911,23.18235406
FAMIC放我家托育·早教（万科尚城园）,丹水坑路万科尚城A6,113.537582,23.09934197,113.5440407,23.1055483
飞屋牧童托育园（旭景家园店）,车陂旭景家园旭景西街196号102房,113.4085095,23.13416418,113.4149278,23.14046728
飞屋牧童托育园（海珠万达店）,广州大道南万达广场三楼,113.3330227,23.20087589,113.3396042,23.20656171
飞屋牧童托育园（黄埔实地常春藤店）,黄埔开发区翠蔓大街2号,113.3542984,22.95048847,113.3608684,22.9562433
禾光美育家庭托育·早教（琶洲园）,杨青路5号,113.3923148,23.10136116,113.3987496,23.10767388
飞屋牧童托育园（黄埔万科山景城店）,长岭街道长岭路万科山景城东区M2栋,113.5327993,23.2170127,113.5392478,23.22328025
一加贝贝托育园,平康路德胜广场教育城715号,113.3804353,22.94519199,113.3869185,22.95137257
森林托育园（缤纷汇店）,祈福缤纷世界,113.3393128,22.97471205,113.345887,22.98037333
飞屋牧童托育园（海珠逸景翠园店）,逸景翠园映月街,113.3151767,23.09010163,113.3217049,23.09601259
童乐轩托育成长中心,荔湾路小梅大街39号104铺（富力皇上皇小区内?近文昌托儿所）,113.2526747,23.13637649,113.2591465,23.14242014
亲呀呀精致智慧托育（岭南新世界园店）,集福街37号岭南新世界2D18栋201房,113.3005949,23.23844729,113.3070458,23.24460468
飞屋牧童托育园（凤凰城凤馨苑店）,新塘镇碧桂园凤凰城凤聚苑4街2座,113.584818,23.13245598,113.5913657,23.13812205
YouBetter优贝特托育早教云山中心,丛云路382-386号（仕馨月子会所负一层）,113.3021069,23.21541071,113.3085836,23.22154818
非凡保姆联合北院托育园（东圃校区）,车陂北街28号之一联合社区北院3栋109单元,113.4058215,23.13461714,113.4122363,23.1409378
FAMIC放我家托育早教（市桥锦绣华庭店）,光明北路12号,113.3680777,22.94665557,113.3746039,22.95262531
承希托育（兰亭盛荟校区）,环城高速兰亭盛荟·四季里商业街21栋一楼1036-1039号,113.8024151,23.20063551,113.8089738,23.20643227
稚慧宝贝国际托育早教中心,沾益直街168号,113.3369387,23.15413851,113.3435013,23.15980164
培才托育,会江村江丽二街4号,113.3017294,23.01651961,113.3081819,23.02265849
飞屋牧童托育园（凤凰城天麓山店）,永宁街道凤凰城大道碧桂园凤凰城凤锦苑二街2号101,113.5875262,23.15670495,113.594087,23.16238962
飞屋牧童托育园（华南碧桂园店）,映翠桃园苑华南碧桂园翡翠苑B区3座G02,113.3608007,23.00088366,113.3673153,23.00672258
创艺宝贝托育园（御金沙校区）,浔洲街72号1楼,113.2084922,23.17071636,113.2150599,23.17643868
飞屋牧童托育园（旭景家园店）,车陂旭景家园旭景西街196号102房,113.4085095,23.13416418,113.4149278,23.14046728
飞屋牧童托育园（海珠万达店）,广州大道南万达广场三楼,113.3330227,23.20087589,113.3396042,23.20656171
飞屋牧童托育园（黄埔实地常春藤店）,黄埔开发区翠蔓大街2号,113.3542984,22.95048847,113.3608684,22.9562433
禾光美育家庭托育·早教（琶洲园）,杨青路5号,113.3923148,23.10136116,113.3987496,23.10767388
飞屋牧童托育园（黄埔万科山景城店）,长岭街道长岭路万科山景城东区M2栋,113.5327993,23.2170127,113.5392478,23.22328025
一加贝贝托育园,平康路德胜广场教育城715号,113.3804353,22.94519199,113.3869185,22.95137257
森林托育园（缤纷汇店）,祈福缤纷世界,113.3393128,22.97471205,113.345887,22.98037333
飞屋牧童托育园（海珠逸景翠园店）,逸景翠园映月街,113.3151767,23.09010163,113.3217049,23.09601259
童乐轩托育成长中心,荔湾路小梅大街39号104铺（富力皇上皇小区内?近文昌托儿所）,113.2526747,23.13637649,113.2591465,23.14242014
亲呀呀精致智慧托育（岭南新世界园店）,集福街37号岭南新世界2D18栋201房,113.3005949,23.23844729,113.3070458,23.24460468
飞屋牧童托育园（凤凰城凤馨苑店）,新塘镇碧桂园凤凰城凤聚苑4街2座,113.584818,23.13245598,113.5913657,23.13812205
YouBetter优贝特托育早教云山中心,丛云路382-386号（仕馨月子会所负一层）,113.3021069,23.21541071,113.3085836,23.22154818
非凡保姆联合北院托育园（东圃校区）,车陂北街28号之一联合社区北院3栋109单元,113.4058215,23.13461714,113.4122363,23.1409378
FAMIC放我家托育早教（市桥锦绣华庭店）,光明北路12号,113.3680777,22.94665557,113.3746039,22.95262531
承希托育（兰亭盛荟校区）,环城高速兰亭盛荟·四季里商业街21栋一楼1036-1039号,113.8024151,23.20063551,113.8089738,23.20643227
稚慧宝贝国际托育早教中心,沾益直街168号,113.3369387,23.15413851,113.3435013,23.15980164
培才托育,会江村江丽二街4号,113.3017294,23.01651961,113.3081819,23.02265849
飞屋牧童托育园（凤凰城天麓山店）,永宁街道凤凰城大道碧桂园凤凰城凤锦苑二街2号101,113.5875262,23.15670495,113.594087,23.16238962
飞屋牧童托育园（华南碧桂园店）,映翠桃园苑华南碧桂园翡翠苑B区3座G02,113.3608007,23.00088366,113.3673153,23.00672258
创艺宝贝托育园（御金沙校区）,浔洲街72号1楼,113.2084922,23.17071636,113.2150599,23.17643868
森本兔婴幼儿托育,桥南街福景路1033号铺201室,113.3717161,22.92521925,113.3782152,22.93125084
爱而生托育学府,兴南大道187号富洲中心东塔首层,113.3607283,23.01883949,113.367243,23.02467724
思润托育,市桥街平康路灏景轩商住楼首层,113.3906049,22.94577282,113.3970633,22.95207652
聆稚国际托育早教中心,富华西路148号2楼（市桥地铁站B口步行420米),113.3664902,22.95298096,113.3730222,22.95892273
芮禾家早教托育园（珠江嘉园店）,来安四街珠江嘉园,113.563768,23.20348602,113.5703288,23.20926419
Famic·稚安心托育园（广钢新城园）,崇文四路葛洲坝广州紫郡府734-735铺,113.2506008,23.07088938,113.2571182,23.07690405
六一托育园,金达街36号万象文化商贸城2楼,113.2402583,23.0784702,113.2468098,23.08430794
爱尔福托育早教中心,春晖一街22号2层,113.5508204,23.11322392,113.5573109,23.11920675
心子幼儿学苑,沿江东路126号,113.3317267,23.0347951,113.3382841,23.04048544
小渔托育,黄河路建发广场南侧约40米,113.4927471,22.97050393,113.4992466,22.97655463
爱乐祺托育早教中心,太和镇米龙商业步行街2楼,113.3622194,23.29827048,113.3687631,23.30413902
非凡保姆保利花园托育园,镜湖东街2号保利花园保利和乐国际艺术中心二楼207铺,113.2801235,23.07794282,113.2865722,23.0842863
培才托育,会江村江丽二街4号,113.3017294,23.01651961,113.3081819,23.02265849
飞屋牧童托育园（凤凰城天麓山店）,永宁街道凤凰城大道碧桂园凤凰城凤锦苑二街2号101,113.5875262,23.15670495,113.594087,23.16238962
飞屋牧童托育园（华南碧桂园店）,映翠桃园苑华南碧桂园翡翠苑B区3座G02,113.3608007,23.00088366,113.3673153,23.00672258
创艺宝贝托育园（御金沙校区）,浔洲街72号1楼,113.2084922,23.17071636,113.2150599,23.17643868
森本兔婴幼儿托育,桥南街福景路1033号铺201室,113.3717161,22.92521925,113.3782152,22.93125084
爱而生托育学府,兴南大道187号富洲中心东塔首层,113.3607283,23.01883949,113.367243,23.02467724
思润托育,市桥街平康路灏景轩商住楼首层,113.3906049,22.94577282,113.3970633,22.95207652
聆稚国际托育早教中心,富华西路148号2楼（市桥地铁站B口步行420米),113.3664902,22.95298096,113.3730222,22.95892273
芮禾家早教托育园（珠江嘉园店）,来安四街珠江嘉园,113.563768,23.20348602,113.5703288,23.20926419
Famic·稚安心托育园（广钢新城园）,崇文四路葛洲坝广州紫郡府734-735铺,113.2506008,23.07088938,113.2571182,23.07690405
六一托育园,金达街36号万象文化商贸城2楼,113.2402583,23.0784702,113.2468098,23.08430794
爱尔福托育早教中心,春晖一街22号2层,113.5508204,23.11322392,113.5573109,23.11920675
心子幼儿学苑,沿江东路126号,113.3317267,23.0347951,113.3382841,23.04048544
小渔托育,黄河路建发广场南侧约40米,113.4927471,22.97050393,113.4992466,22.97655463
爱乐祺托育早教中心,太和镇米龙商业步行街2楼,113.3622194,23.29827048,113.3687631,23.30413902
非凡保姆保利花园托育园,镜湖东街2号保利花园保利和乐国际艺术中心二楼207铺,113.2801235,23.07794282,113.2865722,23.0842863
蒙正托育,南华东路924号1楼（近中海名都西门）,113.2816787,23.11580237,113.2880952,23.12213796
威威猫岭南新世界托育中心（威威猫儿童成长中心）,集雅街86号C8栋101室,113.2714313,23.13533631,113.27785,23.14163864
小豆苗双语早教托育中心,兴乐大街4号,113.2714313,23.13533631,113.27785,23.14163864
几米稚家,同和云裳丽影5B201房,113.3360895,23.19991792,113.3426746,23.2055885
飞屋牧童托育园（番禺东湖洲店）,东湖洲花园C期17座103室,113.422443,22.93766999,113.4289321,22.94380431
非凡保姆英豪花园托育园,盈丰路英豪三横街4号102、103房,113.3079994,23.07501178,113.3145111,23.08105118
幸福大本营,S378(九龙大道)福里街12号101号,113.5466778,23.34432695,113.5531613,23.350385
BCA當乐娃国际智慧托育,凤湖四路万科·幸福誉南门东南侧约80米,113.5483676,23.33621811,113.5548655,23.34224798
圣德教育（石碁店）,龙基北路东七巷7号,113.2481592,23.16557575,113.2546715,23.17154421
智晟国际托育园,较场东路35号盈泽苑D栋2楼,113.2916124,23.13067456,113.2980359,23.13694952
银袋鼠托育中心,棠下街道信华一街209号,113.3933969,23.13925998,113.3998142,23.14557649
雅提特早教托育,淘金家园会所（游泳池一侧）,113.3012785,23.14966923,113.3077378,23.15581705
飞屋牧童双语托育（万科东荟花园店）,东荟一街29号A1栋302房,113.5078952,23.1674751,113.5143466,23.17375102
乐建托管中心,泮塘路种福园17号首层商铺,113.242978,23.12907083,113.2494833,23.13494472
鹿儿港婴幼儿托育园,增城大道2号1栋117室,113.8306422,23.27962166,113.837201,23.28533175
英才早教托育中心,洛浦街汇南广场东区B201号,113.298892,23.03714003,113.3053511,23.04332616
几米稚家,同和云裳丽影5B201房,113.3360895,23.19991792,113.3426746,23.2055885
飞屋牧童托育园（番禺东湖洲店）,东湖洲花园C期17座103室,113.422443,22.93766999,113.4289321,22.94380431
非凡保姆英豪花园托育园,盈丰路英豪三横街4号102、103房,113.3079994,23.07501178,113.3145111,23.08105118
幸福大本营,S378(九龙大道)福里街12号101号,113.5466778,23.34432695,113.5531613,23.350385
BCA當乐娃国际智慧托育,凤湖四路万科·幸福誉南门东南侧约80米,113.5483676,23.33621811,113.5548655,23.34224798
圣德教育（石碁店）,龙基北路东七巷7号,113.2481592,23.16557575,113.2546715,23.17154421
智晟国际托育园,较场东路35号盈泽苑D栋2楼,113.2916124,23.13067456,113.2980359,23.13694952
银袋鼠托育中心,棠下街道信华一街209号,113.3933969,23.13925998,113.3998142,23.14557649
雅提特早教托育,淘金家园会所（游泳池一侧）,113.3012785,23.14966923,113.3077378,23.15581705
飞屋牧童双语托育（万科东荟花园店）,东荟一街29号A1栋302房,113.5078952,23.1674751,113.5143466,23.17375102
乐建托管中心,泮塘路种福园17号首层商铺,113.242978,23.12907083,113.2494833,23.13494472
鹿儿港婴幼儿托育园,增城大道2号1栋117室,113.8306422,23.27962166,113.837201,23.28533175
英才早教托育中心,洛浦街汇南广场东区B201号,113.298892,23.03714003,113.3053511,23.04332616
Peter家·托育中心（NO.GDGZ010店）,京溪路万科天河御品南区110铺,113.3364034,23.18694474,113.3429911,23.1926147
飞屋牧童托育园（金穗雅园店）,穗和北街6号204房,113.2714313,23.13533631,113.27785,23.14163864
优佳贝尔早教托育中心,保利海郡花园海郡二街二栋二号楼107-112号,113.3025731,23.05154366,113.309058,23.0576748
几米稚家,岑村华南御景园A17栋1层,113.3859975,23.17613061,113.3924605,23.18238636
喜宝幼儿托育中心（南华店）,华翠路19号南华时代城华润万家斜对面,113.2007714,23.37340672,113.2072896,23.37922121
金鹰宝贝国际托育中心,石化路219号文冲同创汇二楼,113.4761681,23.11201362,113.4827025,23.11778572
祝博士（亚运城校区）,兴亚三路147号3栋2梯109房,113.500116,22.95093099,113.5066008,22.95710699
全优加早教·托育（华南新城分校）,新城小区大平台二楼A208-A213层,113.3700178,23.11647643,113.3765028,23.12247371
十牛小镇（阳光城市广场店）,兴业路与荔湾路交叉口东南20米,113.4071467,22.80176914,113.4135848,22.80808618
希蒙国际托育（淘金中心）,华乐街道淘金东路25-29号淘金华庭二楼整层,113.297965,23.14755317,113.3044121,23.15375103
芮禾家早教托育园,布岭路万科里享家蔚来东门S13-210,113.5731368,23.20181508,113.5797179,23.20749939
学之社托管,长洲路257号,113.4274767,23.082637,113.4339831,23.08868498
童蕊托育中心,立新街江南美景二楼商贸中心201室,113.2994189,23.09739631,113.3058851,23.10357568
爱乐贝多元智能托育中心,·保利爱特城南1门东50米,113.5543864,23.14949245,113.560892,23.15541281
天树幼儿国际教育（东莞庄店）,瘦狗岭路413号颐和大厦A1栋411单元,113.3417206,23.15470164,113.3482844,23.1603619
明善托管中心,淘金街11-27号,113.2936437,23.14659739,113.3000785,23.15285159
学生之家托管中心,文元石榴巷与牛地街交叉口东北约100米,113.4762865,23.10571281,113.4828263,23.11148766
学诗教育,大广高速公路与金谷北路交叉口西北方向190米,113.3649139,23.46018239,113.3714322,23.46609285
小鲸妈妈托育中心,市桥街光明北路283号19-20铺,113.367783,22.95838828,113.3743087,22.96435248
祝博士（亚运城校区）,兴亚三路147号3栋2梯109房,113.500116,22.95093099,113.5066008,22.95710699
全优加早教·托育（华南新城分校）,新城小区大平台二楼A208-A213层,113.3700178,23.11647643,113.3765028,23.12247371
十牛小镇（阳光城市广场店）,兴业路与荔湾路交叉口东南20米,113.4071467,22.80176914,113.4135848,22.80808618
希蒙国际托育（淘金中心）,华乐街道淘金东路25-29号淘金华庭二楼整层,113.297965,23.14755317,113.3044121,23.15375103
芮禾家早教托育园,布岭路万科里享家蔚来东门S13-210,113.5731368,23.20181508,113.5797179,23.20749939
学之社托管,长洲路257号,113.4274767,23.082637,113.4339831,23.08868498
童蕊托育中心,立新街江南美景二楼商贸中心201室,113.2994189,23.09739631,113.3058851,23.10357568
爱乐贝多元智能托育中心,·保利爱特城南1门东50米,113.5543864,23.14949245,113.560892,23.15541281
天树幼儿国际教育（东莞庄店）,瘦狗岭路413号颐和大厦A1栋411单元,113.3417206,23.15470164,113.3482844,23.1603619
明善托管中心,淘金街11-27号,113.2936437,23.14659739,113.3000785,23.15285159
学生之家托管中心,文元石榴巷与牛地街交叉口东北约100米,113.4762865,23.10571281,113.4828263,23.11148766
学诗教育,大广高速公路与金谷北路交叉口西北方向190米,113.3649139,23.46018239,113.3714322,23.46609285
小鲸妈妈托育中心,市桥街光明北路283号19-20铺,113.367783,22.95838828,113.3743087,22.96435248
宝学士托育中心,观海路5号118-125房1层,113.2247099,23.04985826,113.2312867,23.05553083
悠悠家托育中心,广丰路1号（金洲地铁站出入口步行270米）,113.5504418,22.80340828,113.5569469,22.8094011
鲤鱼家庭式托育,保利紫云B1栋204室,113.2589437,23.19555517,113.2654311,23.20171237
午后时光托辅中心,蓬莱路与蓬莱正街交叉口西北80米,113.2435298,23.11986364,113.2500359,23.12574728
非凡保姆光大花园托育园,工业大道76-78号君誉富力现代广场a栋1004房,113.2624013,23.09759825,113.2688619,23.10380421
小鹿安迪托育早教中心,南沙街道听海街5街9号珠江湾（八匹马广场旁）,113.589741,22.74798673,113.5962926,22.75368774
博泓儿童中心,富力·金港城金熙三街8-5号南区,113.2975647,23.22940221,113.3040132,23.23560631
五六点智慧托管,藤业一路三街39号铺,113.2714313,23.13533631,113.27785,23.14163864
善学堂儿童成长中心,华景路126号福门阁二楼,113.3662177,23.14574587,113.372718,23.15167624
手握手学生托管服务部,握山北东街8-1号,113.3081356,23.23096794,113.3146181,23.23699889
飞屋牧童双语托育（天河美林湖畔店）,桃园南二街194号204房,113.4225055,23.11347545,113.4289663,23.11960299
祝博士托管,天香街4号,113.2770623,23.13946826,113.2834764,23.14580056
童未来成长中心,龟岗大马路6号粤港大厦三楼,113.3034856,23.33972992,113.3099624,23.34584368
朵拉早教托育中心,环城北路北约坊二巷四横1号101、102（近龙美村委会）,113.4202498,22.8161827,113.426731,22.82235192
全优·贝贝早教托育,创佳路3号梦多多小镇3层307室,113.2030924,23.15438606,113.2096307,23.1601699
春草托管所,马岗顶北街与泰沙路交叉口南100米,113.2921668,23.0914855,113.2986195,23.09776044
鲸喜哆哆托育中心,沙浦东路66号,113.4965148,22.97652999,113.5029953,22.98264461
同学嘉一站式托教中心,联和街道富春山居B31栋负一楼102室,113.4370684,23.19095334,113.4436131,23.19683425
米诺象婴幼儿托育中心,紫薇路38-8号,113.2146651,23.41093185,113.2212432,23.41660756
善学堂儿童成长中心,华景路126号福门阁二楼,113.3662177,23.14574587,113.372718,23.15167624
手握手学生托管服务部,握山北东街8-1号,113.3081356,23.23096794,113.3146181,23.23699889
飞屋牧童双语托育（天河美林湖畔店）,桃园南二街194号204房,113.4225055,23.11347545,113.4289663,23.11960299
祝博士托管,天香街4号,113.2770623,23.13946826,113.2834764,23.14580056
童未来成长中心,龟岗大马路6号粤港大厦三楼,113.3034856,23.33972992,113.3099624,23.34584368
朵拉早教托育中心,环城北路北约坊二巷四横1号101、102（近龙美村委会）,113.4202498,22.8161827,113.426731,22.82235192
全优·贝贝早教托育,创佳路3号梦多多小镇3层307室,113.2030924,23.15438606,113.2096307,23.1601699
春草托管所,马岗顶北街与泰沙路交叉口南100米,113.2921668,23.0914855,113.2986195,23.09776044
鲸喜哆哆托育中心,沙浦东路66号,113.4965148,22.97652999,113.5029953,22.98264461
同学嘉一站式托教中心,联和街道富春山居B31栋负一楼102室,113.4370684,23.19095334,113.4436131,23.19683425
米诺象婴幼儿托育中心,紫薇路38-8号,113.2146651,23.41093185,113.2212432,23.41660756
一心国际早教托育中心,大学城信息枢纽楼二楼（大学城南地铁站A口步行390米）,113.4035709,23.05118584,113.4100138,23.05752233
蓝蝶国际托育园,翠瑜街11号悠方天地东区F栋二楼211C,113.5261974,22.80504906,113.5326377,22.8113729
耀森小屋婴幼儿家庭式托育园,金穗路保利·心语E栋706房,113.3369879,23.12799204,113.3435369,23.13365227
小博士托管班（麒龙西路店）,麒龙路与丹桂路交叉口西南160米,113.5107915,22.83712251,113.5172491,22.8434279
童森双语托育乐园,东山街道寺右南三街三巷2号,113.3203765,23.12328732,113.326894,23.12910782
梦想家托管中心（市莲路店）,赤岗村青颍大街九巷2号,113.488757,22.97368848,113.4952678,22.97966762
广州极客思维教育科技有限公司（豪贤店）,豪贤路51号,113.2828892,23.13613107,113.289302,23.14246324
飞屋牧童双语托育（番禺金海岸店）,大龙街金海岸大道金海岸花园14座1梯101室,113.4108855,22.94088885,113.417345,22.94717882
彩虹托管辅导中心,万福路106号,113.2812546,23.12664768,113.2876661,23.13298286
宝宝托儿所（招村北街）,招村北街58号创意园南侧约90米,113.2512618,23.10001196,113.2577572,23.10603439
乐星托管中心,水荫四横路61号102室,113.3174084,23.15347419,113.3239281,23.15934426
步漖托儿所,海龙街增滘步漖村481号,113.5166603,22.93370151,113.5231054,22.94003948
沛儿乐托育中心,站前路西村四约大街9号,113.252645,23.146723,113.2591229,23.15276734
心子宝贝（金玫瑰苑校区）,嘉瑞街金玫瑰苑,113.2991707,23.07251134,113.305653,23.07869786
翌曦多元智能托育中心,馥佳苑华晖街2号101商铺,113.3660084,23.14368848,113.372508,23.1496149
五六点智慧托管（晓港湾校区）,南洲路北文华街魅力港湾商业城208室,113.2987848,23.07662015,113.3052649,23.08281222
奇特小镇婴幼儿日托中心（大石旗舰店）,景华南路39号123铺,113.323726,23.02080543,113.3302549,23.02657823
全优加早教·托育（翡翠绿洲校区）,陈家林路翡翠绿洲商业中心3楼,113.5680654,23.13704979,113.5746034,23.14276974
非凡保姆-家庭托育-猎德晟府校区,海文路1号猎德晟府一区崇德楼301室,113.3428424,23.12096627,113.3493936,23.12662644
恬雅·育苗圃蒙台梭利国际托育早教中心, 丰乐南路90号101（金逸雅居-恬雅蒙台梭利托育中心）,113.462854,23.10149379,113.469421,23.10715688
唐尼翰博国际日托中心（广州保利园店）,保利花园静雅街44号首层,113.278687,23.07862904,113.2851355,23.08497166
步漖托儿所,海龙街增滘步漖村481号,113.5166603,22.93370151,113.5231054,22.94003948
沛儿乐托育中心,站前路西村四约大街9号,113.252645,23.146723,113.2591229,23.15276734
心子宝贝（金玫瑰苑校区）,嘉瑞街金玫瑰苑,113.2991707,23.07251134,113.305653,23.07869786
翌曦多元智能托育中心,馥佳苑华晖街2号101商铺,113.3660084,23.14368848,113.372508,23.1496149
五六点智慧托管（晓港湾校区）,南洲路北文华街魅力港湾商业城208室,113.2987848,23.07662015,113.3052649,23.08281222
奇特小镇婴幼儿日托中心（大石旗舰店）,景华南路39号123铺,113.323726,23.02080543,113.3302549,23.02657823
全优加早教·托育（翡翠绿洲校区）,陈家林路翡翠绿洲商业中心3楼,113.5680654,23.13704979,113.5746034,23.14276974
非凡保姆-家庭托育-猎德晟府校区,海文路1号猎德晟府一区崇德楼301室,113.3428424,23.12096627,113.3493936,23.12662644
恬雅·育苗圃蒙台梭利国际托育早教中心, 丰乐南路90号101（金逸雅居-恬雅蒙台梭利托育中心）,113.462854,23.10149379,113.469421,23.10715688
唐尼翰博国际日托中心（广州保利园店）,保利花园静雅街44号首层,113.278687,23.07862904,113.2851355,23.08497166
爱尚育乐园,新都里25号,113.2420448,23.13062454,113.2485533,23.13648309
童心圆早教托育中心（钟福广场店）,钟福广场教育城3楼,113.3296067,22.97292552,113.3361727,22.97863608
爱亲宝托育园,龙洞东路221号,113.3766219,23.20756602,113.3831101,23.21368404
南沙红黄蓝成长中心,金沙路23号星河盛世商场首层内,113.5512567,22.81032092,113.5577712,22.81630055
乐轩私塾,漫林街98号,113.5366459,23.16413168,113.5431054,23.17035177
卡吉熊托育早教中心,宝岗大道1377号建恳商务中心2楼,113.27903,23.08994098,113.2854707,23.09628239
小太阳托管中心（港湾路西二街店）,港湾西二街3号（大沙地地铁站C口步行470米),113.453058,23.10683774,113.459616,23.11251822
唐尼翰博国际日托中心（越秀店）,小北路越秀公园东门东秀歌舞台旁,113.2767234,23.14415928,113.2831405,23.15049116
优仕学堂,蓬莱新街6号1层,113.2454114,23.11911631,113.2519114,23.1250321
树人托管教育连锁（全国第1136分点）,星盛西街5号101房,113.2714313,23.13533631,113.27785,23.14163864
