托育店铺,地址,GCJ02经度,GCJ02纬度,等级
贝贝伴国际早教·托育（黄埔中心）,保利中誉广场副座3楼（大沙东地铁站A口步行180米),113.4709809,23.11853548,"""商务大厦"""
全优加早教·托育（剑桥郡校区）,南村镇雅居乐剑桥郡瀚澜一街48号,113.3993874,23.0321613,"""门址"""
飞屋牧童托育园（翡翠绿洲森林半岛店）,翡翠绿洲·森林半岛6号,113.5735851,23.1474464,"""地产小区"""
全优贝贝早教托育富力半岛校,富力半岛E2栋2楼,113.2403689,23.15483995,"""教育"""
比尔盖托育,东漖街道浣南东街11-1号（坑口地铁站C口步行210米）,113.2456652,23.09243719,"""教育"""
飞屋牧童托育园（中海康城店）,中海康城凤信街5栋1层,113.4161178,23.14647313,"""地产小区"""
FAMIC放我家托育·早教（东方熹园店）,东方新世界·熹园,113.3711866,23.14111584,"""地产小区"""
艾思乐早教托育中心,同德围横滘新南一路5号2楼,113.252696,23.18344579,"""教育"""
FAMIC放我家托育·早教(剑桥郡园),雅居乐剑桥郡,113.374502,23.02273036,"""地产小区"""
飞屋牧童托育园（黄埔万科金色梦想店）,云埔五路万科金色梦想G13栋金梅街1号103号,113.544627,23.17505513,"""楼号"""
昌华国际托育园,新都里2号首层,113.2491162,23.13573875,"""教育"""
全优加早教·托育（新塘凤馨苑校区）,永宁街凤凰城凤馨苑一号门岗(进来右边50米处)综合楼,113.2359552,23.11071379,"""道路"""
FAMIC放我家托育·早教（中海康城店）,中海康城梧桐街3号,113.4148781,23.1476895,"""门址"""
乐之贝国际托育中心,棠景街汇景路93号,113.2670911,23.18235406,"""教育"""
FAMIC放我家托育·早教（万科尚城园）,丹水坑路万科尚城A6,113.5440407,23.1055483,"""地产小区"""
飞屋牧童托育园（旭景家园店）,车陂旭景家园旭景西街196号102房,113.4149278,23.14046728,"""地产小区"""
飞屋牧童托育园（海珠万达店）,广州大道南万达广场三楼,113.3396042,23.20656171,"""道路"""
飞屋牧童托育园（黄埔实地常春藤店）,黄埔开发区翠蔓大街2号,113.514178,23.1857314,"""教育"""
禾光美育家庭托育·早教（琶洲园）,杨青路5号,113.3987496,23.10767388,"""门址"""
飞屋牧童托育园（黄埔万科山景城店）,长岭街道长岭路万科山景城东区M2栋,113.5392478,23.22328025,"""地产小区"""
全优贝贝早教托育富力半岛校,富力半岛E2栋2楼,113.2403689,23.15483995,"""教育"""
比尔盖托育,东漖街道浣南东街11-1号（坑口地铁站C口步行210米）,113.2456652,23.09243719,"""教育"""
飞屋牧童托育园（中海康城店）,中海康城凤信街5栋1层,113.4161178,23.14647313,"""地产小区"""
FAMIC放我家托育·早教（东方熹园店）,东方新世界·熹园,113.3711866,23.14111584,"""地产小区"""
艾思乐早教托育中心,同德围横滘新南一路5号2楼,113.252696,23.18344579,"""教育"""
FAMIC放我家托育·早教(剑桥郡园),雅居乐剑桥郡,113.374502,23.02273036,"""地产小区"""
飞屋牧童托育园（黄埔万科金色梦想店）,云埔五路万科金色梦想G13栋金梅街1号103号,113.544627,23.17505513,"""楼号"""
昌华国际托育园,新都里2号首层,113.2491162,23.13573875,"""教育"""
全优加早教·托育（新塘凤馨苑校区）,永宁街凤凰城凤馨苑一号门岗(进来右边50米处)综合楼,113.2359552,23.11071379,"""道路"""
FAMIC放我家托育·早教（中海康城店）,中海康城梧桐街3号,113.4148781,23.1476895,"""门址"""
乐之贝国际托育中心,棠景街汇景路93号,113.2670911,23.18235406,"""教育"""
FAMIC放我家托育·早教（万科尚城园）,丹水坑路万科尚城A6,113.5440407,23.1055483,"""地产小区"""
飞屋牧童托育园（旭景家园店）,车陂旭景家园旭景西街196号102房,113.4149278,23.14046728,"""地产小区"""
飞屋牧童托育园（海珠万达店）,广州大道南万达广场三楼,113.3396042,23.20656171,"""道路"""
飞屋牧童托育园（黄埔实地常春藤店）,黄埔开发区翠蔓大街2号,113.514178,23.1857314,"""教育"""
禾光美育家庭托育·早教（琶洲园）,杨青路5号,113.3987496,23.10767388,"""门址"""
飞屋牧童托育园（黄埔万科山景城店）,长岭街道长岭路万科山景城东区M2栋,113.5392478,23.22328025,"""地产小区"""
一加贝贝托育园,平康路德胜广场教育城715号,113.3868827,22.95115328,"""教育"""
森林托育园（缤纷汇店）,祈福缤纷世界,113.3452527,22.98078219,"""地产小区"""
飞屋牧童托育园（海珠逸景翠园店）,逸景翠园映月街,113.3217049,23.09601259,"""地产小区"""
童乐轩托育成长中心,荔湾路小梅大街39号104铺（富力皇上皇小区内?近文昌托儿所）,113.2591465,23.14242014,"""商务大厦"""
亲呀呀精致智慧托育（岭南新世界园店）,集福街37号岭南新世界2D18栋201房,113.3047542,23.24637337,"""教育"""
飞屋牧童托育园（凤凰城凤馨苑店）,新塘镇碧桂园凤凰城凤聚苑4街2座,113.5893701,23.13818336,"""地产小区"""
YouBetter优贝特托育早教云山中心,丛云路382-386号（仕馨月子会所负一层）,113.3083597,23.22178707,"""教育"""
非凡保姆联合北院托育园（东圃校区）,车陂北街28号之一联合社区北院3栋109单元,113.4122363,23.1409378,"""楼号"""
FAMIC放我家托育早教（市桥锦绣华庭店）,光明北路12号,113.3745219,22.95279217,"""NoClass"""
承希托育（兰亭盛荟校区）,环城高速兰亭盛荟·四季里商业街21栋一楼1036-1039号,113.8089738,23.20643227,"""门址"""
稚慧宝贝国际托育早教中心,沾益直街168号,113.3432607,23.15931887,"""教育"""
培才托育,会江村江丽二街4号,113.3081819,23.02265849,"""门址"""
飞屋牧童托育园（凤凰城天麓山店）,永宁街道凤凰城大道碧桂园凤凰城凤锦苑二街2号101,113.5952615,23.16584037,"""地产小区"""
飞屋牧童托育园（华南碧桂园店）,映翠桃园苑华南碧桂园翡翠苑B区3座G02,113.3730168,23.00758085,"""地产小区"""
创艺宝贝托育园（御金沙校区）,浔洲街72号1楼,113.2170009,23.1769214,"""地产小区"""
飞屋牧童托育园（旭景家园店）,车陂旭景家园旭景西街196号102房,113.4149278,23.14046728,"""地产小区"""
飞屋牧童托育园（海珠万达店）,广州大道南万达广场三楼,113.3396042,23.20656171,"""道路"""
飞屋牧童托育园（黄埔实地常春藤店）,黄埔开发区翠蔓大街2号,113.514178,23.1857314,"""教育"""
禾光美育家庭托育·早教（琶洲园）,杨青路5号,113.3987496,23.10767388,"""门址"""
飞屋牧童托育园（黄埔万科山景城店）,长岭街道长岭路万科山景城东区M2栋,113.5392478,23.22328025,"""地产小区"""
一加贝贝托育园,平康路德胜广场教育城715号,113.3868827,22.95115328,"""教育"""
森林托育园（缤纷汇店）,祈福缤纷世界,113.3452527,22.98078219,"""地产小区"""
飞屋牧童托育园（海珠逸景翠园店）,逸景翠园映月街,113.3217049,23.09601259,"""地产小区"""
童乐轩托育成长中心,荔湾路小梅大街39号104铺（富力皇上皇小区内?近文昌托儿所）,113.2591465,23.14242014,"""商务大厦"""
亲呀呀精致智慧托育（岭南新世界园店）,集福街37号岭南新世界2D18栋201房,113.3047542,23.24637337,"""教育"""
飞屋牧童托育园（凤凰城凤馨苑店）,新塘镇碧桂园凤凰城凤聚苑4街2座,113.5893701,23.13818336,"""地产小区"""
YouBetter优贝特托育早教云山中心,丛云路382-386号（仕馨月子会所负一层）,113.3083597,23.22178707,"""教育"""
非凡保姆联合北院托育园（东圃校区）,车陂北街28号之一联合社区北院3栋109单元,113.4122363,23.1409378,"""楼号"""
FAMIC放我家托育早教（市桥锦绣华庭店）,光明北路12号,113.3745219,22.95279217,"""NoClass"""
承希托育（兰亭盛荟校区）,环城高速兰亭盛荟·四季里商业街21栋一楼1036-1039号,113.8089738,23.20643227,"""门址"""
稚慧宝贝国际托育早教中心,沾益直街168号,113.3432607,23.15931887,"""教育"""
培才托育,会江村江丽二街4号,113.3081819,23.02265849,"""门址"""
飞屋牧童托育园（凤凰城天麓山店）,永宁街道凤凰城大道碧桂园凤凰城凤锦苑二街2号101,113.5952615,23.16584037,"""地产小区"""
飞屋牧童托育园（华南碧桂园店）,映翠桃园苑华南碧桂园翡翠苑B区3座G02,113.3730168,23.00758085,"""地产小区"""
创艺宝贝托育园（御金沙校区）,浔洲街72号1楼,113.2170009,23.1769214,"""地产小区"""
森本兔婴幼儿托育,桥南街福景路1033号铺201室,113.3441719,23.22582028,"""教育"""
爱而生托育学府,兴南大道187号富洲中心东塔首层,113.3668102,23.02499611,"""教育"""
思润托育,市桥街平康路灏景轩商住楼首层,113.3845517,22.95192817,"""教育"""
聆稚国际托育早教中心,富华西路148号2楼（市桥地铁站B口步行420米),113.3730465,22.95895411,"""教育"""
芮禾家早教托育园（珠江嘉园店）,来安四街珠江嘉园,113.5705944,23.20955948,"""教育"""
Famic·稚安心托育园（广钢新城园）,崇文四路葛洲坝广州紫郡府734-735铺,113.2570654,23.07689812,"""地产小区"""
六一托育园,金达街36号万象文化商贸城2楼,113.2468656,23.08449531,"""教育"""
爱尔福托育早教中心,春晖一街22号2层,113.5573109,23.11920675,"""门址"""
心子幼儿学苑,沿江东路126号,113.3382841,23.04048544,"""教育"""
小渔托育,黄河路建发广场南侧约40米,113.4992043,22.97497694,"""教育"""
爱乐祺托育早教中心,太和镇米龙商业步行街2楼,113.3725742,23.30326911,"""教育"""
非凡保姆保利花园托育园,镜湖东街2号保利花园保利和乐国际艺术中心二楼207铺,113.286735,23.08437395,"""教育"""
培才托育,会江村江丽二街4号,113.3081819,23.02265849,"""门址"""
飞屋牧童托育园（凤凰城天麓山店）,永宁街道凤凰城大道碧桂园凤凰城凤锦苑二街2号101,113.5952615,23.16584037,"""地产小区"""
飞屋牧童托育园（华南碧桂园店）,映翠桃园苑华南碧桂园翡翠苑B区3座G02,113.3730168,23.00758085,"""地产小区"""
创艺宝贝托育园（御金沙校区）,浔洲街72号1楼,113.2170009,23.1769214,"""地产小区"""
森本兔婴幼儿托育,桥南街福景路1033号铺201室,113.3441719,23.22582028,"""教育"""
爱而生托育学府,兴南大道187号富洲中心东塔首层,113.3668102,23.02499611,"""教育"""
思润托育,市桥街平康路灏景轩商住楼首层,113.3845517,22.95192817,"""教育"""
聆稚国际托育早教中心,富华西路148号2楼（市桥地铁站B口步行420米),113.3730465,22.95895411,"""教育"""
芮禾家早教托育园（珠江嘉园店）,来安四街珠江嘉园,113.5705944,23.20955948,"""教育"""
Famic·稚安心托育园（广钢新城园）,崇文四路葛洲坝广州紫郡府734-735铺,113.2570654,23.07689812,"""地产小区"""
六一托育园,金达街36号万象文化商贸城2楼,113.2468656,23.08449531,"""教育"""
爱尔福托育早教中心,春晖一街22号2层,113.5573109,23.11920675,"""门址"""
心子幼儿学苑,沿江东路126号,113.3382841,23.04048544,"""教育"""
小渔托育,黄河路建发广场南侧约40米,113.4992043,22.97497694,"""教育"""
爱乐祺托育早教中心,太和镇米龙商业步行街2楼,113.3725742,23.30326911,"""教育"""
非凡保姆保利花园托育园,镜湖东街2号保利花园保利和乐国际艺术中心二楼207铺,113.286735,23.08437395,"""教育"""
蒙正托育,南华东路924号1楼（近中海名都西门）,113.2877306,23.12192586,"""教育"""
威威猫岭南新世界托育中心（威威猫儿童成长中心）,集雅街86号C8栋101室,113.2671883,23.11734692,"""教育"""
小豆苗双语早教托育中心,兴乐大街4号,113.379301,22.9369497,"""教育"""
几米稚家,同和云裳丽影5B201房,113.3924493,23.18241273,"""教育"""
飞屋牧童托育园（番禺东湖洲店）,东湖洲花园C期17座103室,113.4289321,22.94380431,"""地产小区"""
非凡保姆英豪花园托育园,盈丰路英豪三横街4号102、103房,113.3125947,23.08036397,"""教育"""
幸福大本营,S378(九龙大道)福里街12号101号,113.554278,23.34532418,"""教育"""
BCA當乐娃国际智慧托育,凤湖四路万科·幸福誉南门东南侧约80米,113.5548655,23.34224798,"""NoClass"""
圣德教育（石碁店）,龙基北路东七巷7号,113.4510892,22.96497965,"""商圈"""
智晟国际托育园,较场东路35号盈泽苑D栋2楼,113.2980359,23.13694952,"""地产小区"""
银袋鼠托育中心,棠下街道信华一街209号,113.3998142,23.14557649,"""乡镇"""
雅提特早教托育,淘金家园会所（游泳池一侧）,113.379301,22.9369497,"""教育"""
飞屋牧童双语托育（万科东荟花园店）,东荟一街29号A1栋302房,113.5139774,23.17220243,"""地产小区"""
乐建托管中心,泮塘路种福园17号首层商铺,113.2494833,23.13494472,"""地产小区"""
鹿儿港婴幼儿托育园,增城大道2号1栋117室,113.8363338,23.28560938,"""教育"""
英才早教托育中心,洛浦街汇南广场东区B201号,113.3053511,23.04332616,"""商务大厦"""
几米稚家,同和云裳丽影5B201房,113.3924493,23.18241273,"""教育"""
飞屋牧童托育园（番禺东湖洲店）,东湖洲花园C期17座103室,113.4289321,22.94380431,"""地产小区"""
非凡保姆英豪花园托育园,盈丰路英豪三横街4号102、103房,113.3125947,23.08036397,"""教育"""
幸福大本营,S378(九龙大道)福里街12号101号,113.554278,23.34532418,"""教育"""
BCA當乐娃国际智慧托育,凤湖四路万科·幸福誉南门东南侧约80米,113.5548655,23.34224798,"""NoClass"""
圣德教育（石碁店）,龙基北路东七巷7号,113.4510892,22.96497965,"""商圈"""
智晟国际托育园,较场东路35号盈泽苑D栋2楼,113.2980359,23.13694952,"""地产小区"""
银袋鼠托育中心,棠下街道信华一街209号,113.3998142,23.14557649,"""乡镇"""
雅提特早教托育,淘金家园会所（游泳池一侧）,113.379301,22.9369497,"""教育"""
飞屋牧童双语托育（万科东荟花园店）,东荟一街29号A1栋302房,113.5139774,23.17220243,"""地产小区"""
乐建托管中心,泮塘路种福园17号首层商铺,113.2494833,23.13494472,"""地产小区"""
鹿儿港婴幼儿托育园,增城大道2号1栋117室,113.8363338,23.28560938,"""教育"""
英才早教托育中心,洛浦街汇南广场东区B201号,113.3053511,23.04332616,"""商务大厦"""
Peter家·托育中心（NO.GDGZ010店）,京溪路万科天河御品南区110铺,113.3433841,23.19318611,"""教育"""
飞屋牧童托育园（金穗雅园店）,穗和北街6号204房,113.3677239,22.92165403,"""教育"""
优佳贝尔早教托育中心,保利海郡花园海郡二街二栋二号楼107-112号,113.309058,23.0576748,"""门址"""
几米稚家,岑村华南御景园A17栋1层,113.3924493,23.18241273,"""教育"""
喜宝幼儿托育中心（南华店）,华翠路19号南华时代城华润万家斜对面,113.2072896,23.37922121,"""地产小区"""
金鹰宝贝国际托育中心,石化路219号文冲同创汇二楼,113.4830239,23.11859754,"""教育"""
祝博士（亚运城校区）,兴亚三路147号3栋2梯109房,113.50623,22.95720964,"""教育"""
全优加早教·托育（华南新城分校）,新城小区大平台二楼A208-A213层,113.3641047,23.03674458,"""教育"""
十牛小镇（阳光城市广场店）,兴业路与荔湾路交叉口东南20米,113.4135848,22.80808618,"""交叉路口"""
希蒙国际托育（淘金中心）,华乐街道淘金东路25-29号淘金华庭二楼整层,113.3044121,23.15375103,"""NoClass"""
芮禾家早教托育园,布岭路万科里享家蔚来东门S13-210,113.5785093,23.2080179,"""教育"""
学之社托管,长洲路257号,113.4339738,23.08861758,"""教育"""
童蕊托育中心,立新街江南美景二楼商贸中心201室,113.3058851,23.10357568,"""地产小区"""
爱乐贝多元智能托育中心,·保利爱特城南1门东50米,113.560892,23.15541281,"""地产小区"""
天树幼儿国际教育（东莞庄店）,瘦狗岭路413号颐和大厦A1栋411单元,113.3482844,23.1603619,"""商务大厦"""
明善托管中心,淘金街11-27号,113.3000785,23.15285159,"""门址"""
学生之家托管中心,文元石榴巷与牛地街交叉口东北约100米,113.4828263,23.11148766,"""村庄"""
学诗教育,大广高速公路与金谷北路交叉口西北方向190米,113.3714644,23.46745784,"""教育"""
小鲸妈妈托育中心,市桥街光明北路283号19-20铺,113.3743087,22.96435248,"""门址"""
祝博士（亚运城校区）,兴亚三路147号3栋2梯109房,113.50623,22.95720964,"""教育"""
全优加早教·托育（华南新城分校）,新城小区大平台二楼A208-A213层,113.3641047,23.03674458,"""教育"""
十牛小镇（阳光城市广场店）,兴业路与荔湾路交叉口东南20米,113.4135848,22.80808618,"""交叉路口"""
希蒙国际托育（淘金中心）,华乐街道淘金东路25-29号淘金华庭二楼整层,113.3044121,23.15375103,"""NoClass"""
芮禾家早教托育园,布岭路万科里享家蔚来东门S13-210,113.5785093,23.2080179,"""教育"""
学之社托管,长洲路257号,113.4339738,23.08861758,"""教育"""
童蕊托育中心,立新街江南美景二楼商贸中心201室,113.3058851,23.10357568,"""地产小区"""
爱乐贝多元智能托育中心,·保利爱特城南1门东50米,113.560892,23.15541281,"""地产小区"""
天树幼儿国际教育（东莞庄店）,瘦狗岭路413号颐和大厦A1栋411单元,113.3482844,23.1603619,"""商务大厦"""
明善托管中心,淘金街11-27号,113.3000785,23.15285159,"""门址"""
学生之家托管中心,文元石榴巷与牛地街交叉口东北约100米,113.4828263,23.11148766,"""村庄"""
学诗教育,大广高速公路与金谷北路交叉口西北方向190米,113.3714644,23.46745784,"""教育"""
小鲸妈妈托育中心,市桥街光明北路283号19-20铺,113.3743087,22.96435248,"""门址"""
宝学士托育中心,观海路5号118-125房1层,113.2312867,23.05553083,"""门址"""
悠悠家托育中心,广丰路1号（金洲地铁站出入口步行270米）,113.5518476,22.80198212,"""教育"""
鲤鱼家庭式托育,保利紫云B1栋204室,113.2654311,23.20171237,"""楼号"""
午后时光托辅中心,蓬莱路与蓬莱正街交叉口西北80米,113.2500359,23.12574728,"""交叉路口"""
非凡保姆光大花园托育园,工业大道76-78号君誉富力现代广场a栋1004房,113.2681988,23.10379981,"""教育"""
小鹿安迪托育早教中心,南沙街道听海街5街9号珠江湾（八匹马广场旁）,113.5962926,22.75368774,"""地产小区"""
博泓儿童中心,富力·金港城金熙三街8-5号南区,113.3040132,23.23560631,"""门址"""
五六点智慧托管,藤业一路三街39号铺,113.8498245,23.29959729,"""教育"""
善学堂儿童成长中心,华景路126号福门阁二楼,113.3724706,23.15134687,"""教育"""
手握手学生托管服务部,握山北东街8-1号,113.28245,23.20593804,"""NoClass"""
飞屋牧童双语托育（天河美林湖畔店）,桃园南二街194号204房,113.4281631,23.12233515,"""地产小区"""
祝博士托管,天香街4号,113.2834764,23.14580056,"""教育"""
童未来成长中心,龟岗大马路6号粤港大厦三楼,113.3099624,23.34584368,"""门址"""
朵拉早教托育中心,环城北路北约坊二巷四横1号101、102（近龙美村委会）,113.426731,22.82235192,"""道路"""
全优·贝贝早教托育,创佳路3号梦多多小镇3层307室,113.2096307,23.1601699,"""门址"""
春草托管所,马岗顶北街与泰沙路交叉口南100米,113.2985654,23.09211992,"""教育"""
鲸喜哆哆托育中心,沙浦东路66号,113.5029953,22.98264461,"""教育"""
同学嘉一站式托教中心,联和街道富春山居B31栋负一楼102室,113.4436131,23.19683425,"""地产小区"""
米诺象婴幼儿托育中心,紫薇路38-8号,113.2205185,23.4166116,"""购物"""
善学堂儿童成长中心,华景路126号福门阁二楼,113.3724706,23.15134687,"""教育"""
手握手学生托管服务部,握山北东街8-1号,113.28245,23.20593804,"""NoClass"""
飞屋牧童双语托育（天河美林湖畔店）,桃园南二街194号204房,113.4281631,23.12233515,"""地产小区"""
祝博士托管,天香街4号,113.2834764,23.14580056,"""教育"""
童未来成长中心,龟岗大马路6号粤港大厦三楼,113.3099624,23.34584368,"""门址"""
朵拉早教托育中心,环城北路北约坊二巷四横1号101、102（近龙美村委会）,113.426731,22.82235192,"""道路"""
全优·贝贝早教托育,创佳路3号梦多多小镇3层307室,113.2096307,23.1601699,"""门址"""
春草托管所,马岗顶北街与泰沙路交叉口南100米,113.2985654,23.09211992,"""教育"""
鲸喜哆哆托育中心,沙浦东路66号,113.5029953,22.98264461,"""教育"""
同学嘉一站式托教中心,联和街道富春山居B31栋负一楼102室,113.4436131,23.19683425,"""地产小区"""
米诺象婴幼儿托育中心,紫薇路38-8号,113.2205185,23.4166116,"""购物"""
一心国际早教托育中心,大学城信息枢纽楼二楼（大学城南地铁站A口步行390米）,113.4100138,23.05752233,"""商务大厦"""
蓝蝶国际托育园,翠瑜街11号悠方天地东区F栋二楼211C,113.315659,23.11467129,"""教育"""
耀森小屋婴幼儿家庭式托育园,金穗路保利·心语E栋706房,113.3435369,23.13365227,"""楼号"""
小博士托管班（麒龙西路店）,麒龙路与丹桂路交叉口西南160米,113.5172491,22.8434279,"""道路"""
童森双语托育乐园,东山街道寺右南三街三巷2号,113.3297563,23.12807227,"""教育"""
梦想家托管中心（市莲路店）,赤岗村青颍大街九巷2号,113.4944416,22.97846674,"""教育"""
广州极客思维教育科技有限公司（豪贤店）,豪贤路51号,113.2884458,23.14223222,"""地产小区"""
飞屋牧童双语托育（番禺金海岸店）,大龙街金海岸大道金海岸花园14座1梯101室,113.417345,22.94717882,"""地产小区"""
彩虹托管辅导中心,万福路106号,113.2876661,23.13298286,"""门址"""
宝宝托儿所（招村北街）,招村北街58号创意园南侧约90米,113.2504954,23.10306704,"""教育"""
乐星托管中心,水荫四横路61号102室,113.3241412,23.15910746,"""门址"""
步漖托儿所,海龙街增滘步漖村481号,113.5231054,22.94003948,"""道路"""
沛儿乐托育中心,站前路西村四约大街9号,113.2590716,23.15275812,"""门址"""
心子宝贝（金玫瑰苑校区）,嘉瑞街金玫瑰苑,113.305653,23.07869786,"""地产小区"""
翌曦多元智能托育中心,馥佳苑华晖街2号101商铺,113.372508,23.1496149,"""门址"""
五六点智慧托管（晓港湾校区）,南洲路北文华街魅力港湾商业城208室,113.3055772,23.08236351,"""教育"""
奇特小镇婴幼儿日托中心（大石旗舰店）,景华南路39号123铺,113.3305212,23.02657237,"""购物"""
全优加早教·托育（翡翠绿洲校区）,陈家林路翡翠绿洲商业中心3楼,113.5674441,23.15123821,"""地产小区"""
非凡保姆-家庭托育-猎德晟府校区,海文路1号猎德晟府一区崇德楼301室,113.3493936,23.12662644,"""休闲娱乐"""
恬雅·育苗圃蒙台梭利国际托育早教中心, 丰乐南路90号101（金逸雅居-恬雅蒙台梭利托育中心）,113.4720207,23.11164261,"""教育"""
唐尼翰博国际日托中心（广州保利园店）,保利花园静雅街44号首层,113.2872488,23.08497043,"""道路"""
步漖托儿所,海龙街增滘步漖村481号,113.5231054,22.94003948,"""道路"""
沛儿乐托育中心,站前路西村四约大街9号,113.2590716,23.15275812,"""门址"""
心子宝贝（金玫瑰苑校区）,嘉瑞街金玫瑰苑,113.305653,23.07869786,"""地产小区"""
翌曦多元智能托育中心,馥佳苑华晖街2号101商铺,113.372508,23.1496149,"""门址"""
五六点智慧托管（晓港湾校区）,南洲路北文华街魅力港湾商业城208室,113.3055772,23.08236351,"""教育"""
奇特小镇婴幼儿日托中心（大石旗舰店）,景华南路39号123铺,113.3305212,23.02657237,"""购物"""
全优加早教·托育（翡翠绿洲校区）,陈家林路翡翠绿洲商业中心3楼,113.5674441,23.15123821,"""地产小区"""
非凡保姆-家庭托育-猎德晟府校区,海文路1号猎德晟府一区崇德楼301室,113.3493936,23.12662644,"""休闲娱乐"""
恬雅·育苗圃蒙台梭利国际托育早教中心, 丰乐南路90号101（金逸雅居-恬雅蒙台梭利托育中心）,113.4720207,23.11164261,"""教育"""
唐尼翰博国际日托中心（广州保利园店）,保利花园静雅街44号首层,113.2872488,23.08497043,"""道路"""
爱尚育乐园,新都里25号,113.2484955,23.13646478,"""NoClass"""
童心圆早教托育中心（钟福广场店）,钟福广场教育城3楼,113.33603,22.9792199,"""购物"""
爱亲宝托育园,龙洞东路221号,113.3831101,23.21368404,"""门址"""
南沙红黄蓝成长中心,金沙路23号星河盛世商场首层内,113.5577712,22.81630055,"""地产小区"""
乐轩私塾,漫林街98号,113.5432883,23.17030847,"""教育"""
卡吉熊托育早教中心,宝岗大道1377号建恳商务中心2楼,113.2854707,23.09628239,"""商务大厦"""
小太阳托管中心（港湾路西二街店）,港湾西二街3号（大沙地地铁站C口步行470米),113.4144904,23.2068664,"""门址"""
唐尼翰博国际日托中心（越秀店）,小北路越秀公园东门东秀歌舞台旁,113.2831405,23.15049116,"""旅游景点"""
优仕学堂,蓬莱新街6号1层,113.2519114,23.1250321,"""教育"""
树人托管教育连锁（全国第1136分点）,星盛西街5号101房,113.27785,23.14163864,"""城市"""
行知托管,南村镇广州雅居乐花园邻居一栋,113.3895728,23.016663,"""教育"""
吉宏托管学堂,朱村大道保利中航城二期青星街72号商铺,113.6857406,23.28461997,"""教育"""
金领航托管理中心,两龙大街28号菜鸟驿站2楼,113.2898046,23.46330163,"""门址"""
龙博士双语托育中心,沿江南路161号,113.6041394,23.54746924,"""教育"""
萌芽教育托管中心,同宝路星汇云城,113.3510385,23.21890038,"""教育"""
西村健苗托儿所,长宁街2号,113.2562778,23.15424367,"""教育"""
稚趣慧儿儿童成长中心,云埔五路玉泉学校西北侧约80米,113.5411429,23.17165042,"""教育"""
明利富教育,珠玑路147号,113.2567523,23.12460112,"""教育"""
思润婴幼儿学苑(思润托育),星海园东南,113.3845517,22.95192817,"""教育"""
思苏卡尔早教·托育（旗舰校）,东艺路129号,113.3576376,22.9891221,"""门址"""
五六点智慧托管,公园前路44号9-10号商铺,113.2223304,23.39666888,"""教育"""
FAMIC萌宝堡家庭托育园(雅居乐滨江花园),雅居乐滨江花园,113.3349528,23.13587543,"""商务大厦"""
金领航托管理中心,两龙大街28号菜鸟驿站2楼,113.2898046,23.46330163,"""门址"""
龙博士双语托育中心,沿江南路161号,113.6041394,23.54746924,"""教育"""
萌芽教育托管中心,同宝路星汇云城,113.3510385,23.21890038,"""教育"""
西村健苗托儿所,长宁街2号,113.2562778,23.15424367,"""教育"""
稚趣慧儿儿童成长中心,云埔五路玉泉学校西北侧约80米,113.5411429,23.17165042,"""教育"""
明利富教育,珠玑路147号,113.2567523,23.12460112,"""教育"""
思润婴幼儿学苑(思润托育),星海园东南,113.3845517,22.95192817,"""教育"""
思苏卡尔早教·托育（旗舰校）,东艺路129号,113.3576376,22.9891221,"""门址"""
五六点智慧托管,公园前路44号9-10号商铺,113.2223304,23.39666888,"""教育"""
FAMIC萌宝堡家庭托育园(雅居乐滨江花园),雅居乐滨江花园,113.3349528,23.13587543,"""商务大厦"""
知了托管,上漖如意路18号,113.3238216,23.04866833,"""教育"""
闪之星托育早教,朱村街东100米,113.2356511,23.39450933,"""教育"""
熊猫宝贝早教托育中心,莲港大道22号一街701,113.4996437,22.97932381,"""门址"""
小天使托儿所（新风路）,新风路与新市南街交叉口东20米,113.3269027,23.05146809,"""购物"""
乐童托管班,江南西路紫山大街33号103铺,113.2807629,23.10763457,"""教育"""
贝安斯国际婴幼早教托育中心,元亨路31号,113.6927986,23.28273002,"""教育"""
MORGAN KIDS HOME2早教托育英语,梅苑小区西门南100米（梅花园地铁站B口步行140米）,113.3338741,23.18801919,"""教育"""
比泡乐儿日托中心（南田店）,龙骧大街四间巷34号,113.2762553,23.09941797,"""政府机构"""
么么亲托育成长早教中心,横滘二路与富康路交叉口西100米,113.2518555,23.18653516,"""教育"""
小木客儿童之家,峻峦一街18号B13栋101房,113.5683567,23.33740801,"""教育"""
培杰教育,盈中路62号,113.3144711,23.08029187,"""教育"""
博尔斯托管,市桥光明南路67号,113.3761419,22.94845641,"""教育"""
艾比家托育,富景苑8街17号,113.366622,22.98141787,"""教育"""
智趣谷国际托育早教中心,福翠路南国奥园悉尼商业街3座1-6,113.3335847,22.9971391,"""地产小区"""
翎羽托管中心,沙园三街南一号103室,113.2774003,23.09795739,"""教育"""
大朗托育中心,大朗中路146号,113.2670231,23.24763994,"""村庄"""
爱尚园丁托管之家,盈翠路与东晓南路辅路交叉口东80米,113.2817032,23.10661145,"""餐饮"""
小鲸妈妈托育中心（翠湖中心校区）,黄埔大道翠湖山庄,113.3660871,23.13872663,"""地产小区"""
新加坡中英文双语爱童宝贝之家,天河北路中天购物城三楼,113.3379934,23.15382784,"""教育"""
新爱婴早教托育,中新恒大山水城二期领峰南二街号,113.3418985,23.13347946,"""NoClass"""
优质托管,望亭路15-37号,113.1996249,23.3813891,"""教育"""
